City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,pevek,69.7008,170.3133,-36.99,100,60,4.27,RU,1674009054
84,cidreira,-30.1811,-50.2056,73.78,85,98,12.5,BR,1674009055
85,kencong,-8.2833,113.3667,82.9,73,100,4.99,ID,1674009055
86,lokosovo,61.1333,74.8167,3.58,94,99,6.62,RU,1674009056
87,ambovombe,-25.1667,46.0833,72.59,86,4,6.29,MG,1674009056
88,lorengau,-2.0226,147.2712,83.62,69,83,2.08,PG,1674008793
89,empalme,27.9667,-110.8167,64.45,55,0,0.0,MX,1674008893
90,noshiro,40.2039,140.0242,34.63,71,100,15.7,JP,1674009057
91,upernavik,72.7868,-56.1549,-11.79,95,100,5.97,GL,1674009057
92,baft,29.234,56.6057,33.84,90,31,11.25,IR,1674009058
93,sungaipenuh,-2.0833,101.3833,73.76,72,96,1.01,ID,1674009058
94,umea,63.8284,20.2597,31.93,93,100,12.66,SE,1674009059
95,barrow,71.2906,-156.7887,-5.78,77,100,17.27,US,1674008823
96,deputatskiy,69.3,139.9,-34.55,100,95,1.66,RU,1674009059
97,atuona,-9.8,-139.0333,78.53,77,15,18.32,PF,1674008785
98,marienburg,54.0359,19.0266,37.04,89,100,5.19,PL,1674009060
99,isangel,-19.55,169.2667,80.71,83,100,3.44,VU,1674009061
100,shellbrook,53.2168,-106.4011,9.63,100,96,4.16,CA,1674009061
101,sarkand,45.41,79.9186,9.61,68,0,5.61,KZ,1674009062
102,san patricio,28.017,-97.5169,71.46,86,96,10.27,US,1674009063
103,port alfred,-33.5906,26.891,74.17,96,100,6.67,ZA,1674009064
104,broome,42.2506,-75.833,40.53,89,100,4.61,US,1674009065
105,mar del plata,-38.0023,-57.5575,74.08,96,20,10.0,AR,1674008908
106,puerto escondido,15.85,-97.0667,79.63,73,40,6.91,MX,1674009066
107,tire,38.0888,27.7351,54.34,88,98,7.63,TR,1674009066
108,bagua grande,-5.7561,-78.4411,77.22,74,85,3.71,PE,1674009067
109,kurumkan,54.3,110.3,-3.89,94,100,0.89,RU,1674009068
110,guerrero negro,27.9769,-114.0611,58.62,59,33,16.93,MX,1674009068
111,husavik,66.0449,-17.3389,24.4,81,100,14.63,IS,1674009069
112,torbay,47.6666,-52.7314,48.38,97,100,14.97,CA,1674009069
113,haimen,23.1935,116.6142,55.29,56,100,9.84,CN,1674009070
114,yanam,16.7333,82.2167,73.51,70,5,1.81,IN,1674009070
115,tuatapere,-46.1333,167.6833,71.98,50,0,5.99,NZ,1674009071
116,alice springs,-23.7,133.8833,92.75,36,40,10.36,AU,1674009071
117,sitka,57.0531,-135.33,42.69,70,75,14.97,US,1674008822
118,tuktoyaktuk,69.4541,-133.0374,3.2,85,100,12.66,CA,1674009072
119,saint george,37.1041,-113.5841,41.43,80,100,10.36,US,1674009068
120,pisco,-13.7,-76.2167,69.85,83,0,12.66,PE,1674008795
121,timizart,36.8,4.2667,51.46,80,89,13.6,DZ,1674009073
122,kahului,20.8947,-156.47,80.62,69,40,5.75,US,1674008837
123,sangar,63.9242,127.4739,-55.43,97,77,2.89,RU,1674009074
124,dunedin,-45.8742,170.5036,61.81,71,34,3.0,NZ,1674009043
125,maniitsoq,65.4167,-52.9,0.3,74,28,10.36,GL,1674009075
126,carnarvon,-24.8667,113.6333,87.21,50,25,10.58,AU,1674008864
127,paris,48.8534,2.3488,34.14,87,0,6.91,FR,1674008962
128,cap malheureux,-19.9842,57.6142,79.47,74,100,11.99,MU,1674009076
129,jackson,42.4165,-122.8345,43.39,78,93,2.84,US,1674009076
130,georgetown,5.4112,100.3354,82.33,74,20,6.91,MY,1674009012
131,coihaique,-45.5752,-72.0662,64.35,52,0,3.44,CL,1674009077
132,walvis bay,-22.9575,14.5053,69.1,88,100,2.3,NA,1674008915
133,provideniya,64.3833,-173.3,-5.69,65,0,11.18,RU,1674009078
134,port elizabeth,-33.918,25.5701,74.32,97,100,8.05,ZA,1674009079
135,sola,-13.8833,167.55,79.97,84,100,24.09,VU,1674009079
136,hamilton,39.1834,-84.5333,48.09,80,20,9.22,US,1674008781
137,bredasdorp,-34.5322,20.0403,70.81,90,100,2.3,ZA,1674009080
138,geraldton,-28.7667,114.6,93.61,27,0,20.71,AU,1674009078
139,astana,51.1801,71.446,-11.25,84,23,4.47,KZ,1674009081
140,sao joao da barra,-21.6403,-41.0511,74.86,91,1,11.41,BR,1674009082
141,inhambane,-23.865,35.3833,78.44,81,35,6.31,MZ,1674009083
142,la joya,18.6667,-99.4667,74.16,44,100,5.14,MX,1674009083
143,saint-augustin,51.226,-58.6502,35.87,100,100,13.47,CA,1674009084
144,qui nhon,13.7667,109.2333,72.81,84,100,19.48,VN,1674009084
145,cabo san lucas,22.8909,-109.9124,69.1,77,75,11.5,MX,1674009085
146,severo-kurilsk,50.6789,156.125,16.25,62,100,22.79,RU,1674009086
147,sosnovo-ozerskoye,52.5249,111.5418,-2.54,92,100,9.91,RU,1674009086
148,vila velha,-20.3297,-40.2925,75.15,96,40,3.44,BR,1674008820
149,san andres,12.5847,-81.7006,78.82,83,20,10.36,CO,1674009088
150,abu dhabi,24.4667,54.3667,69.91,78,20,12.66,AE,1674008810
151,mayumba,-3.432,10.6554,77.58,84,94,2.39,GA,1674009089
152,nusaybin,37.0778,41.2178,43.5,71,4,7.0,TR,1674009090
153,bella union,-30.2752,-57.6007,81.25,31,7,7.85,UY,1674009090
154,surgut,61.25,73.4167,3.38,84,0,7.0,RU,1674009091
155,mahebourg,-20.4081,57.7,79.25,88,40,14.97,MU,1674009091
156,asau,46.4333,26.4,40.28,79,93,6.38,RO,1674009091
157,milyutinskaya,48.6279,41.6679,31.3,93,100,16.08,RU,1674009092
158,namibe,-15.1961,12.1522,73.51,77,96,6.64,AO,1674008828
159,mendoza,-32.8908,-68.8272,72.93,64,75,2.3,AR,1674008891
160,twentynine palms,34.1356,-116.0542,49.96,51,1,8.99,US,1674009093
161,wagga wagga,-35.1167,147.3667,87.85,57,100,6.67,AU,1674009002
162,dharchula,29.85,80.5333,50.49,15,40,4.09,IN,1674009093
